fold,method,target_mode,n_train,n_test,y_dim,context_steps,target_corr_mean,target_corr_median,row_corr_mean,row_corr_median,r2,retrieval_top1,retrieval_top5,retrieval_mrr,retrieval_median_rank,retrieval_rank_percentile_mean,diag_minus_offdiag,dataset_name,calib_frac,n_calib_seq
1,shifted_null_ridge,calib0.4,4042,810,32,16,-0.016692982284439495,-0.016211352311074734,-0.02207798777822905,-0.034866735339164734,-0.49023650272521113,0.0024691358024691358,0.040740740740740744,0.03648684397343925,72.0,0.4760272710521467,-0.029470428826409475,xp2,0.4,720
1,time_only_ridge,calib0.4,4042,810,32,16,0.019689047912834212,0.014015133958309889,0.05774174427806204,0.06909658387303352,-0.0007591885067359527,0.007407407407407408,0.030864197530864196,0.040751486729713196,63.0,0.5221669430624655,0.03306549166560914,xp2,0.4,720
1,train_mean,calib0.4,4042,810,32,16,4.573440866758223e-09,7.0548697994610166e-09,0.031435577492344616,0.03590376302599907,-0.0002266223634421749,0.007407407407407408,0.037037037037037035,0.040638441293296634,68.0,0.5,2.6020852139652106e-18,xp2,0.4,720
1,time_residual_eeg_ridge,calib0.4_time_resid,4042,810,32,16,0.01750461430492578,0.013914346229285002,0.01605130070274305,-0.006637010490521789,-0.4475716561795502,0.008641975308641974,0.043209876543209874,0.044646302292338416,68.0,0.5062004790860513,0.01225801787373023,xp2,0.4,720
1,time_residual_shifted_null,calib0.4_time_resid,4042,810,32,16,0.004180841338893515,0.0130406036041677,0.013320329540263989,0.013001649640500546,-0.46370105778041615,0.009876543209876543,0.03209876543209877,0.04122575450869804,69.0,0.505177814630551,0.007368552828756934,xp2,0.4,720
1,time_residual_mean,calib0.4_time_resid,4042,810,32,16,-4.775037920623504e-09,-1.9479807766842328e-09,0.009965337960934842,0.003793027368374169,-0.0007648637871273678,0.007407407407407408,0.037037037037037035,0.040638441293296634,68.0,0.5,1.734723475976807e-18,xp2,0.4,720
2,real_eeg_ridge,calib0.4,4042,810,32,16,0.019856647370033897,0.0013122831005603075,0.04340248037930715,0.046870049089193344,-0.3011588866291526,0.006172839506172839,0.03950617283950617,0.042906584670974635,61.0,0.534116454763221,0.03915645499754556,xp2,0.4,720
2,shifted_null_ridge,calib0.4,4042,810,32,16,-0.0018717239781835815,-0.004031521151773632,0.012450887711181875,0.015520716551691294,-0.32263329665892426,0.008641975308641974,0.037037037037037035,0.04186179938441158,66.0,0.5017965726920951,0.005077142617023516,xp2,0.4,720
2,time_only_ridge,calib0.4,4042,810,32,16,0.028046995072145364,0.027400368824601173,0.05914943863393057,0.0690806694328785,0.002447121552821674,0.006172839506172839,0.03333333333333333,0.0425423376846594,59.0,0.5342730790491985,0.0468146107196234,xp2,0.4,720
2,train_mean,calib0.4,4042,810,32,16,-2.3754873554326927e-09,-1.035140972938109e-09,-0.008380974290811997,-0.01811715867370367,-0.0002674638720026046,0.007407407407407408,0.037037037037037035,0.040638441293296634,68.0,0.5,-3.4333068795374305e-19,xp2,0.4,720
2,time_residual_eeg_ridge,calib0.4_time_resid,4042,810,32,16,0.017697348499496002,-0.00035609828773885965,0.023153021519451783,0.031639943830668926,-0.2905734067412302,0.006172839506172839,0.03827160493827161,0.04076979290894487,61.0,0.5234199373502857,0.026097144493860126,xp2,0.4,720
2,time_residual_shifted_null,calib0.4_time_resid,4042,810,32,16,-0.0026761517801787704,0.006317575462162495,-0.0009671986456256199,0.005544618703424931,-0.3593179028824618,0.008641975308641974,0.03580246913580247,0.03980592390890488,67.0,0.49993550764695044,0.0006868752797374386,xp2,0.4,720
2,time_residual_mean,calib0.4_time_resid,4042,810,32,16,3.872135665136414e-09,3.4233069712286124e-09,0.006420086865330598,0.014450551476329565,-0.000287327430191997,0.007407407407407408,0.037037037037037035,0.040638441293296634,68.0,0.5,1.0661321362774128e-18,xp2,0.4,720
3,real_eeg_ridge,calib0.4,4224,675,32,16,0.031413876436090504,0.028008638881146908,0.03602300721863112,0.04490215331315994,-0.2894108980108001,0.0044444444444444444,0.037037037037037035,0.03853603867784951,63.0,0.5251741293532338,0.024434879008637184,xp2,0.4,600
