fold,method,target_mode,n_train,n_test,y_dim,context_steps,target_corr_mean,target_corr_median,row_corr_mean,row_corr_median,r2,retrieval_top1,retrieval_top5,retrieval_mrr,retrieval_median_rank,retrieval_rank_percentile_mean,diag_minus_offdiag,dataset_name,mode,lag
3,time_only_ridge,Z,11520,5376,32,16,0.0034047809485855396,0.003354943124577403,0.011131939228841063,0.018994768150150776,-0.00030623813496055696,0.0027901785714285715,0.02101934523809524,0.024230061390466795,124.0,0.5097805788982258,0.00915831061271212,affective,tf,8
3,time_residual_eeg_ridge,Z_time_resid,11520,5376,32,16,0.0008041437895371928,0.0006477271526819095,0.02138982800487945,0.018981825560331345,-0.08433064239068755,0.003720238095238095,0.020647321428571428,0.024741724458671926,125.0,0.5107602415966387,0.020540278278360906,affective,tf,8
3,time_residual_shifted_null,Z_time_resid,11520,5376,32,16,0.0005144290189491585,0.002560977474786341,0.0014815313537691768,0.0001720887012197636,-0.0915409041802222,0.004092261904761905,0.020461309523809524,0.02367117168830926,129.0,0.49883724323062556,-0.00010666597025232839,affective,tf,8
1,real_eeg_ridge,Z,4788,1824,32,16,0.04499467087589437,0.04188299551606178,0.046894162747744224,0.04371648468077183,-0.16511354090332264,0.01699561403508772,0.09539473684210527,0.07847734602471708,34.0,0.5403672835232518,0.06197584179086821,experience,tf,-8
1,shifted_null_ridge,Z,4788,1824,32,16,0.0074432294168218505,0.012667104601860046,0.005122482762161732,0.015878239646553993,-0.23036083456957823,0.00932017543859649,0.06030701754385965,0.05974186033959341,38.0,0.5006565887714225,-0.0002858963389367093,experience,tf,-8
1,time_only_ridge,Z,4788,1824,32,16,0.04349683724831266,0.024839564226567745,0.12881227956390112,0.15664223581552505,0.014551291503571706,0.024671052631578948,0.1162280701754386,0.09323100534843143,29.0,0.5911744833045957,0.15170455831603713,experience,tf,-8
1,time_residual_eeg_ridge,Z_time_resid,4788,1824,32,16,0.038006102622603066,0.030995371751487255,0.03017413216857995,0.024050057865679264,-0.16756484358489976,0.01644736842105263,0.08607456140350878,0.07408831364207918,35.0,0.526692544277954,0.039196243032295824,experience,tf,-8
1,time_residual_shifted_null,Z_time_resid,4788,1824,32,16,-0.0063198166558322555,-0.0021931242081336677,0.00742075800020789,0.013872562907636166,-0.22017548568656942,0.010964912280701754,0.06414473684210527,0.06254821657481387,38.0,0.5059265404413269,-0.005342247777902684,experience,tf,-8
2,real_eeg_ridge,Z,4945,1712,32,16,0.04708328853303101,0.041958171874284744,0.05974213054865032,0.07449712604284286,-0.1730657946860732,0.02161214953271028,0.10163551401869159,0.08658757883780503,33.0,0.5432138153034662,0.06853101359725913,experience,tf,-8
2,shifted_null_ridge,Z,4945,1712,32,16,-0.004878085121163167,-0.0037385482573881745,-0.021701870145674734,-0.018648851662874222,-0.2761866735119005,0.016355140186915886,0.06542056074766354,0.06644176137813386,39.0,0.49324454838459136,-0.0061175682637542575,experience,tf,-8
2,time_only_ridge,Z,4945,1712,32,16,0.04003952627135732,0.03568609990179539,0.12326438832845431,0.16912786662578583,0.007287424145494326,0.027453271028037383,0.102803738317757,0.09219128510594071,27.0,0.5934286752701068,0.13563827454399838,experience,tf,-8
2,time_residual_eeg_ridge,Z_time_resid,4945,1712,32,16,0.04108889315102715,0.04623083956539631,0.04239175665722295,0.04510175436735153,-0.17466114700553725,0.018691588785046728,0.0905373831775701,0.07977526675927453,35.0,0.5311048052912501,0.04352009780141517,experience,tf,-8
2,time_residual_shifted_null,Z_time_resid,4945,1712,32,16,0.007228094706078991,0.0017995196976698935,0.00783376556215427,0.006863574497401714,-0.22648776309191487,0.012850467289719626,0.07710280373831775,0.06723946351953151,37.0,0.5037696503861127,0.0077708966040927925,experience,tf,-8
3,real_eeg_ridge,Z,4793,1789,32,16,0.06473430102778366,0.06016278266906738,0.056833728152663576,0.06916869431734085,-0.183758551179507,0.022917831190609278,0.09502515371716043,0.08236823514063765,34.0,0.5443598859884976,0.060216452564838686,experience,tf,-8
3,shifted_null_ridge,Z,4793,1789,32,16,0.007852633698348654,0.006150868255645037,0.006164516121229477,0.015495503321290016,-0.2251239821364417,0.015651201788708775,0.07210732252655115,0.06842144028563321,38.0,0.5065041329223781,0.009355386184224242,experience,tf,-8
3,time_only_ridge,Z,4793,1789,32,16,0.050046648175339215,0.036856720224022865,0.13929271579884323,0.15591956675052643,0.01667809481643512,0.02627166014533259,0.11347121296813863,0.09147841254357351,29.0,0.5953771916243403,0.1437586939841494,experience,tf,-8
3,time_residual_eeg_ridge,Z_time_resid,4793,1789,32,16,0.05811908505256724,0.054826900362968445,0.04222322221788905,0.04918732866644859,-0.18947195679863382,0.020122973728339856,0.08608160983789827,0.07771252192613902,36.0,0.5320969868360808,0.03960879661412522,experience,tf,-8
3,time_residual_shifted_null,Z_time_resid,4793,1789,32,16,0.002966128049592953,0.006025257520377636,-0.017679005264999523,-0.018168075010180473,-0.24927131087714605,0.010620458356623811,0.05869200670765791,0.06002855696822132,40.0,0.48896740059088667,-0.02340407583423909,experience,tf,-8
1,real_eeg_ridge,Z,4801,1827,32,16,0.046123811953293625,0.0460555050522089,0.04904032816159599,0.05617664381861687,-0.17553472405598103,0.020251778872468526,0.08812260536398467,0.07801943919618343,34.0,0.545392569599203,0.06499420228237836,experience,tf,-7
1,shifted_null_ridge,Z,4801,1827,32,16,0.004015051687019877,0.008118188939988613,0.015035937135017653,0.019354451447725296,-0.2174586335015638,0.0120415982484948,0.06239737274220033,0.062304935787120555,38.0,0.5077428783394891,0.005220798715687799,experience,tf,-7
1,time_only_ridge,Z,4801,1827,32,16,0.044198494106240105,0.024481377564370632,0.12922660773671382,0.15366533398628235,0.014737965686912657,0.025177887246852763,0.11658456486042693,0.09366210008657398,29.0,0.5906221789745216,0.15110573245666803,experience,tf,-7
1,time_residual_eeg_ridge,Z_time_resid,4801,1827,32,16,0.03859913713677088,0.04036641679704189,0.029767826486706873,0.025725767016410828,-0.17992961157394505,0.020251778872468526,0.0810071154898741,0.07421016391818128,36.0,0.5266162815221858,0.039446648769993,experience,tf,-7
1,time_residual_shifted_null,Z_time_resid,4801,1827,32,16,-0.0040408418062725104,0.005416459636762738,-0.00047701146592921535,-0.005440862383693457,-0.21181032286791113,0.011494252873563218,0.06294471811713191,0.06170161352646697,39.0,0.4992692079360688,-0.01014497784292885,experience,tf,-7
2,real_eeg_ridge,Z,4955,1718,32,16,0.04792190860644041,0.05110378377139568,0.06008875793752334,0.06051408872008324,-0.17883145463875416,0.020954598370197905,0.10069848661233993,0.08384169602075675,33.0,0.5452232547763766,0.06670036001854529,experience,tf,-7
2,shifted_null_ridge,Z,4955,1718,32,16,-0.004465794447241933,0.0017770036356523633,-0.01301577166735213,-0.0249400706961751,-0.25478402707032854,0.015133876600698487,0.08090803259604191,0.06903155853044583,38.0,0.4968945928764437,0.0035516908604792375,experience,tf,-7
2,time_only_ridge,Z,4955,1718,32,16,0.040297020508205605,0.03342785872519016,0.12306890089090045,0.1647346094250679,0.008167115337582298,0.02677532013969732,0.10419091967403958,0.09228795615508663,27.0,0.5928153695791839,0.1351289468067122,experience,tf,-7
2,time_residual_eeg_ridge,Z_time_resid,4955,1718,32,16,0.04217771296907813,0.04739266447722912,0.04619685723209989,0.05054367706179619,-0.17835544960447147,0.01979045401629802,0.09313154831199069,0.07926777744714124,35.0,0.5334057764301435,0.04491864959763058,experience,tf,-7
2,time_residual_shifted_null,Z_time_resid,4955,1718,32,16,0.001771212560015556,0.0005145214527146891,0.010571094570830258,0.012900486122816801,-0.212337355345805,0.01629802095459837,0.07683352735739232,0.07103624055271034,36.0,0.5067564177414029,0.01806156167500133,experience,tf,-7
3,real_eeg_ridge,Z,4804,1794,32,16,0.05942460469668731,0.053025584667921066,0.04793593121302362,0.048559125512838364,-0.19519978827521922,0.022853957636566332,0.09810479375696766,0.08138102148238885,36.0,0.5353468354006583,0.04890963735295812,experience,tf,-7
3,shifted_null_ridge,Z,4804,1794,32,16,0.0075211504255321415,0.00542509404476732,0.006131313295045727,0.018237934447824955,-0.23185985219094007,0.010590858416945374,0.06911928651059086,0.06346794241606905,38.0,0.5098507446712158,0.009556812560862394,experience,tf,-7
3,time_only_ridge,Z,4804,1794,32,16,0.04972747681313194,0.038496918976306915,0.13754803062909268,0.15770066529512405,0.016299234712441657,0.02564102564102564,0.1109253065774805,0.0910830815683289,29.0,0.5950167486942824,0.14078437041353947,experience,tf,-7
3,time_residual_eeg_ridge,Z_time_resid,4804,1794,32,16,0.05289898291903228,0.055411938577890396,0.03525353824516303,0.03797729313373566,-0.1964012566307407,0.016722408026755852,0.09197324414715718,0.07440977186801923,37.0,0.525621389027967,0.030209508715825565,experience,tf,-7
3,time_residual_shifted_null,Z_time_resid,4804,1794,32,16,0.0024435588347841986,-0.00020104122813791037,-0.01680773168481308,-0.027282590977847576,-0.2410058382499518,0.007246376811594203,0.05016722408026756,0.055134055324834993,40.0,0.48856277099800477,-0.02550578140034029,experience,tf,-7
1,real_eeg_ridge,Z,4822,1888,32,16,0.04152713029179722,0.03937331587076187,0.06111808408986998,0.07808826491236687,-0.16325699717528153,0.02065677966101695,0.08633474576271187,0.07827593432905484,34.0,0.5474856521051721,0.07684816838906483,experience,tf,-6
1,shifted_null_ridge,Z,4822,1888,32,16,-0.000335178019668092,0.002184688171837479,0.012867872951851572,0.0271059637889266,-0.21158315899348246,0.013241525423728813,0.05985169491525424,0.062235995653403,39.0,0.5060563175726615,-0.005328387208114904,experience,tf,-6
1,time_only_ridge,Z,4822,1888,32,16,0.05365503011853434,0.04716536030173302,0.1429828959589632,0.15744100511074066,0.016633251067136423,0.023834745762711863,0.11864406779661017,0.091267570860482,30.0,0.5994925119104709,0.16072946600626,experience,tf,-6
1,time_residual_eeg_ridge,Z_time_resid,4822,1888,32,16,0.03527102811494842,0.03766155615448952,0.04853902961871951,0.0626559667289257,-0.16303451073766673,0.02065677966101695,0.08103813559322035,0.07551250982371532,36.0,0.5361109269532429,0.05730293288804241,experience,tf,-6
