context_steps,target_pca_dim,dataset_name,target,status,reasons,real_rank_pct,shifted_rank_pct,time_rank_pct,mean_rank_pct,real_minus_shifted,real_minus_time,real_diag_minus_offdiag,real_row_corr,real_target_corr,residual_status,residual_reasons,residual_rank_pct,residual_shifted_rank_pct,residual_minus_shifted,residual_diag_minus_offdiag,residual_row_corr,n_samples,n_runs,n_subjects,target_dim
32,16,xp2,Z_masked76,pass,,0.5468899744208353,0.5136803422986022,0.5122034792528628,0.5,0.0332096321222331,0.0346864951679725,0.0713045869211626,0.0775624009196206,0.0683034394266239,pass,,0.5460744888395824,0.5053166644436525,0.0407578243959299,0.0684839259520348,0.0784406543551821,5474,17,17,76
32,16,affective,Z_masked100,pass,,0.5215135551313947,0.4925405784072532,0.5024174618841633,0.5,0.0289729767241415,0.0190960932472314,0.0408898507042131,0.0414257215133225,0.0228861635357588,fail,rank<0.52,0.5198600403723522,0.5029098193501357,0.0169502210222165,0.0385559997357308,0.0391818702956344,19506,21,21,100
32,16,experience,Z_masked100,time_dominated,time_beats_real,0.5496392607170355,0.489926567247734,0.5991842643162392,0.5,0.0597126934693014,-0.0495450035992036,0.0909362749589733,0.0938239617198312,0.0553134811586157,pass,,0.531740401829744,0.4926638756458264,0.0390765261839176,0.0581993469897922,0.061341571232025,7909,24,24,100
32,16,natview,Z_masked100,time_dominated,rank<0.52|diag<0.02|shifted_close|time_beats_real,0.504252063148315,0.5102996583380385,0.512135296195274,0.5,-0.0060475951897234,-0.0078832330469589,0.0085790409480777,0.0100817523900996,0.0033389482365843,confounded,rank<0.52|diag<0.02|shifted_close,0.5026145163682593,0.4985099340352246,0.0041045823330346,0.006005535832698,0.0076488547929871,5811,22,22,100
32,16,speeded,Z_masked100,time_dominated,rank<0.52|diag<0.02|shifted_close|time_beats_real,0.5006705142465253,0.4968708279868556,0.5112630121303785,0.5,0.0037996862596696,-0.0105924978838531,-0.0041510628972472,0.0134116761848506,0.0132661975076189,confounded,rank<0.52|diag<0.02|shifted_close,0.4992493966912252,0.5076292952405498,-0.0083798985493245,-0.0051788410435239,0.0104412900959919,6883,19,19,100
32,32,sleep,Z_masked100,confounded,rank<0.52|shifted_close,0.5166600322264155,0.5071364220049643,0.496630249873278,0.5,0.0095236102214512,0.0200297823531375,0.0315034559960346,0.0282372688586838,0.0117572058285683,fail,rank<0.52,0.5150027219103229,0.5032929559858224,0.0117097659245005,0.028098687148009,0.0288346408586639,9273,33,33,100
32,32,natview_neurostorm,Z_neurostorm,fail,rank<0.52|diag<0.02,0.5167488387367697,0.5001043890340416,0.5047044487213496,0.5,0.016644449702728,0.0120443900154201,0.01733413234337,0.0140470346055276,0.0007590800238782,fail,rank<0.52|diag<0.02,0.516692795634476,0.5032550096341057,0.0134377860003702,0.0167881065548641,0.0144574765119738,5811,22,22,2304
32,32,gradcpt,Z_masked100,pass,,0.5686823361823361,0.4945306776556776,0.4881262718762719,0.5,0.0741516585266584,0.0805560643060641,0.0675495789206425,0.0328804848564826,0.0142515368255165,pass,,0.5646805046805047,0.5039384920634921,0.0607420126170126,0.0299642548869471,-0.1164992932608584,3113,28,28,100
32,32,xp2,Z_masked76,pass,,0.5532797255871675,0.5137349419465161,0.5094727779357201,0.5,0.0395447836406513,0.0438069476514474,0.0698416117304677,0.0772786668190392,0.0672455500037661,pass,,0.5513531214302917,0.5067840957859299,0.0445690256443618,0.0662534282297852,0.0763484418628849,5474,17,17,76
32,32,affective,Z_masked100,pass,,0.5230132958260384,0.4914467372300707,0.5025070300667016,0.5,0.0315665585959676,0.0205062657593367,0.0400043788245165,0.0404595819845908,0.0205587686240278,pass,,0.5213221647599449,0.5032282887899672,0.0180938759699776,0.0379081431375599,0.0382957202690269,19506,21,21,100
32,32,experience,Z_masked100,time_dominated,time_beats_real,0.5517130375442837,0.4901918951239608,0.5994937178635905,0.5,0.0615211424203229,-0.0477806803193068,0.0865510010206659,0.0901595062668308,0.0517504264280432,pass,,0.5346056606528612,0.4913359767180261,0.0432696839348351,0.0571831438830967,0.0608983329271643,7909,24,24,100
32,32,natview,Z_masked100,time_dominated,rank<0.52|diag<0.02|shifted_close|time_beats_real,0.504088762925332,0.510376287691809,0.5103990911250319,0.5,-0.0062875247664769,-0.0063103281996998,0.008507219124874,0.0096800759441873,0.0009855881301821,confounded,rank<0.52|diag<0.02|shifted_close,0.5026866002528436,0.4995149219525573,0.0031716783002862,0.0061262183220284,0.0073935540718033,5811,22,22,100
32,32,speeded,Z_masked100,time_dominated,rank<0.52|diag<0.02|shifted_close|time_beats_real,0.500598159714166,0.4965839258317834,0.5132438265221699,0.5,0.0040142338823825,-0.0126456668080039,-0.0049666551697891,0.0112795043623759,0.0091651260348347,confounded,rank<0.52|diag<0.02|shifted_close,0.4984389427922562,0.5085680586843725,-0.0101291158921162,-0.0060887477182812,0.0091222901742213,6883,19,19,100
32,64,natview_neurostorm,Z_neurostorm,fail,rank<0.52|diag<0.02,0.5187982215701529,0.5001579310542229,0.5040999036870485,0.5,0.0186402905159299,0.0146983178831043,0.016547676267468,0.0112677719042065,-0.0001849964310167,fail,rank<0.52|diag<0.02,0.5186888176332408,0.5028035398619317,0.0158852777713091,0.0161164176348354,0.0117509108766644,5811,22,22,2304
32,64,sleep,Z_masked100,fail,rank<0.52,0.5168938667439463,0.5065115274938229,0.4964556010650955,0.5,0.0103823392501234,0.0204382656788508,0.0298382680632831,0.0266268273929925,0.009488124324586,fail,rank<0.52,0.5145957983535138,0.5033338126429922,0.0112619857105216,0.0266839355428074,0.0275824069360146,9273,33,33,100
32,64,gradcpt,Z_masked100,pass,,0.5686823361823361,0.4965819597069597,0.4881262718762719,0.5,0.0721003764753764,0.0805560643060641,0.0682794355081295,0.0334221316064101,0.029407835392097,pass,,0.5646805046805047,0.5029128510378511,0.0617676536426535,0.0304960358061578,-0.115288742029523,3113,28,28,100
32,64,xp2,Z_masked76,pass,,0.5561755532223693,0.5134928419609283,0.510133830160643,0.5,0.042682711261441,0.0460417230617263,0.0667586424331598,0.0748022297454453,0.0566233155671701,pass,,0.5538245684728106,0.5074047609286092,0.0464198075442013,0.0623710763457763,0.0729584704051487,5474,17,17,76
32,64,affective,Z_masked100,pass,,0.5236179720491658,0.4910187722723831,0.5031380184769388,0.4999997568471833,0.0325991997767826,0.0204799535722269,0.0386435353657166,0.039396212592786,0.0168576227223222,pass,,0.5220847474179862,0.5033188133291371,0.018765934088849,0.0367097100192215,0.0373620921173911,19506,21,21,100
32,64,experience,Z_masked100,time_dominated,time_beats_real,0.5523983483016532,0.4901683431457226,0.5999077623891808,0.5,0.0622300051559305,-0.0475094140875275,0.0821054427268365,0.0860031448490906,0.0411327269489447,pass,,0.5367789589278501,0.4908965310547921,0.045882427873058,0.0552877982307738,0.0595967407341495,7909,24,24,100
32,64,natview,Z_masked100,time_dominated,rank<0.52|diag<0.02|shifted_close|time_beats_real,0.5054025612030245,0.5103594246340378,0.5108510839114807,0.5,-0.0049568634310133,-0.0054485227084561,0.0089886661754726,0.0104584716726767,0.0067859501310939,confounded,rank<0.52|diag<0.02|shifted_close,0.5040505994926218,0.4994576626392589,0.0045929368533628,0.0069018452089508,0.0084632981166812,5811,22,22,100
