fold,method,target_mode,n_train,n_test,y_dim,context_steps,target_corr_mean,target_corr_median,row_corr_mean,row_corr_median,r2,retrieval_top1,retrieval_top5,retrieval_mrr,retrieval_median_rank,retrieval_rank_percentile_mean,diag_minus_offdiag,dataset_name,mode,lag
2,real_eeg_ridge,Z,3817,976,32,16,0.04071765845583286,0.042942242696881294,0.03487895712025987,0.043394576758146286,-0.2377290525002025,0.025614754098360656,0.10553278688524591,0.09366162431319677,26.0,0.5347872755659641,0.036099173436260186,xp2,tf,-3
2,shifted_null_ridge,Z,3817,976,32,16,-0.006561884309121524,-0.00044592845370061696,0.005970275013258616,0.013401843141764402,-0.293797341792569,0.015368852459016393,0.08299180327868852,0.07889183683519807,28.5,0.4974013265345668,0.00035307230749665234,xp2,tf,-3
2,time_only_ridge,Z,3817,976,32,16,0.012648542693568743,0.011145387776196003,0.0656571784768999,0.05586593598127365,0.002333550847938737,0.014344262295081968,0.0860655737704918,0.08126962218195737,27.0,0.5332460649647605,0.055262718901027644,xp2,tf,-3
2,time_residual_eeg_ridge,Z_time_resid,3817,976,32,16,0.03982144170004176,0.04528485797345638,0.0395685482962421,0.03917114995419979,-0.2312903514808171,0.02459016393442623,0.10245901639344263,0.09254747962753852,26.0,0.5349966227625801,0.036288982638459893,xp2,tf,-3
2,time_residual_shifted_null,Z_time_resid,3817,976,32,16,0.008238935708504869,0.007919063325971365,0.017210131203146226,0.010682874359190464,-0.24562078614739735,0.020491803278688523,0.08913934426229508,0.08591291193295665,28.0,0.5170574711689117,0.022638481190410925,xp2,tf,-3
3,real_eeg_ridge,Z,3738,1040,32,16,0.05981779552894295,0.055342186242341995,0.07129251184165836,0.0661969780921936,-0.19617265185153165,0.02403846153846154,0.12884615384615383,0.10051671687917027,27.0,0.5608461278674044,0.06340574777790704,xp2,tf,-3
3,shifted_null_ridge,Z,3738,1040,32,16,-0.008943910896505258,-0.010962172411382198,-0.007333678788528722,0.004402432357892394,-0.34124285488182027,0.014423076923076924,0.07692307692307693,0.07327906785296176,32.0,0.4917036863845375,-0.015307317955101367,xp2,tf,-3
3,time_only_ridge,Z,3738,1040,32,16,0.004380923579446971,0.007601943798363209,0.05597070880892436,0.06367489695549011,-0.00018160440318970572,0.01826923076923077,0.08365384615384615,0.08295681454199214,28.0,0.5314703322682045,0.0364964681056725,xp2,tf,-3
3,time_residual_eeg_ridge,Z_time_resid,3738,1040,32,16,0.059479899866801134,0.050708817318081856,0.06682703025339834,0.0575998742133379,-0.1889931957937634,0.020192307692307693,0.11057692307692307,0.09126750332699637,27.0,0.5487176239835815,0.05718266538106415,xp2,tf,-3
3,time_residual_shifted_null,Z_time_resid,3738,1040,32,16,-0.01682457202355181,-0.01345649128779769,-0.007312340290809516,-0.014430627692490816,-0.3477891383360219,0.0125,0.07403846153846154,0.07206063239045507,32.0,0.4893945002987557,-0.011650273325757035,xp2,tf,-3
1,real_eeg_ridge,Z,3707,1058,32,16,0.04774844222993124,0.05307069979608059,0.0554807834321004,0.054994190111756325,-0.2743800719759806,0.026465028355387523,0.10491493383742911,0.09249177147080503,28.0,0.5391724427641252,0.043598913539713104,xp2,tf,-2
1,shifted_null_ridge,Z,3707,1058,32,16,0.0106135806418024,0.010254437569528818,-0.0016070032482211952,-0.00348830409348011,-0.31133478277218507,0.01890359168241966,0.07183364839319471,0.075427445911841,30.0,0.5021397815584961,0.0037062455480651292,xp2,tf,-2
1,time_only_ridge,Z,3707,1058,32,16,0.016744104228564538,0.016092240810394287,0.044607019914268596,0.05421427823603153,-0.0011577739967993939,0.017958412098298678,0.09073724007561437,0.08283452075625317,31.0,0.5184394409937889,0.030749869342403535,xp2,tf,-2
1,time_residual_eeg_ridge,Z_time_resid,3707,1058,32,16,0.04793869030618225,0.053046293556690216,0.04292182808969201,0.048774685710668564,-0.26424629928143273,0.017958412098298678,0.10207939508506617,0.08556466776879545,29.0,0.5280318885588261,0.03396116806183483,xp2,tf,-2
1,time_residual_shifted_null,Z_time_resid,3707,1058,32,16,0.005055624911619816,0.0049172944854944944,0.0020284312005165077,-0.0005242651477601612,-0.29041724869511354,0.015122873345935728,0.08601134215500945,0.07625785030804634,31.0,0.5045927476220482,0.005526236155225292,xp2,tf,-2
2,real_eeg_ridge,Z,3827,983,32,16,0.035290308311232366,0.046113139018416405,0.03356988433372354,0.03899148106575012,-0.2356552336804576,0.021363173957273652,0.08748728382502544,0.08504077358026114,26.0,0.5292986726735455,0.03171028407815104,xp2,tf,-2
2,shifted_null_ridge,Z,3827,983,32,16,0.0016891269506231765,-0.00396283098962158,-0.0006014575860176486,0.006038972642272711,-0.29148268921355713,0.01017293997965412,0.08748728382502544,0.07444130585853212,30.0,0.4933926351144052,-0.008426159468651905,xp2,tf,-2
2,time_only_ridge,Z,3827,983,32,16,0.009650097996200202,0.00800016475841403,0.0662819123537215,0.05514474958181381,0.0025902157217935207,0.015259409969481181,0.07934893184130214,0.08020453986050483,27.0,0.5339380580987906,0.05392367934275411,xp2,tf,-2
2,time_residual_eeg_ridge,Z_time_resid,3827,983,32,16,0.03412634935375536,0.04003044776618481,0.03263674409219679,0.04068118333816528,-0.22978763066646635,0.021363173957273652,0.08138351983723296,0.0830969587548756,27.0,0.52546969109787,0.028635176966460847,xp2,tf,-2
2,time_residual_shifted_null,Z_time_resid,3827,983,32,16,0.006704868283122778,0.005176835227757692,0.02151244448802016,0.017215313389897346,-0.24672441933102918,0.021363173957273652,0.11190233977619532,0.09291490699398751,28.0,0.5230031568408984,0.025708921571898455,xp2,tf,-2
3,real_eeg_ridge,Z,3752,1043,32,16,0.057662386549054645,0.05050873942673206,0.07318449746441205,0.0753556340932846,-0.19183812790457067,0.026845637583892617,0.12080536912751678,0.09859223536853212,27.0,0.5574750034241884,0.06034239801493505,xp2,tf,-2
3,shifted_null_ridge,Z,3752,1043,32,16,-0.011881045253176126,-0.009317656513303518,0.0037586702625608754,0.012181082740426064,-0.33693579397767426,0.015340364333652923,0.06903163950143816,0.0731809138129015,31.0,0.4966271743596768,-0.008167209628369185,xp2,tf,-2
3,time_only_ridge,Z,3752,1043,32,16,0.0022950177517486736,-0.0024243739899247885,0.061733732022316495,0.06984195113182068,-0.0002688403465926914,0.01725790987535954,0.0862895493767977,0.08278908472244682,29.0,0.5303763563590984,0.03879758060053552,xp2,tf,-2
3,time_residual_eeg_ridge,Z_time_resid,3752,1043,32,16,0.057342447027622256,0.050013551488518715,0.06713747638591525,0.06295263767242432,-0.1833146098547629,0.023010546500479387,0.10450623202301054,0.09033477248965752,28.0,0.5488041972941302,0.057553192420906486,xp2,tf,-2
3,time_residual_shifted_null,Z_time_resid,3752,1043,32,16,-0.013668708277918995,-0.02191012166440487,-0.013597880516249309,-0.013831214047968388,-0.34600867493186493,0.011505273250239693,0.06423777564717162,0.06876722406121732,32.0,0.4881218706722063,-0.016613835362004947,xp2,tf,-2
