dataset_name,mode,lag,real_rank_pct,shifted_rank_pct,time_rank_pct,real_minus_shifted,real_minus_time,real_diag_minus_offdiag,residual_rank_pct,residual_shifted_rank_pct,residual_minus_shifted,residual_diag_minus_offdiag
experience,tf,-5,0.5435087435798219,0.5053293708556731,0.5919398877132086,0.03817937272414884,-0.04843114413338667,0.06261316654972224,0.5355014172710596,0.4966027361241318,0.038898681146927794,0.04749475098091094
experience,tf,-4,0.546033264130766,0.5033708535630458,0.5921172253441054,0.042662410567720244,-0.04608396121333935,0.06408029990971502,0.5380231134323156,0.49032203778414263,0.04770107564817294,0.048422890348418755
experience,tf,-3,0.5419648264283657,0.5050645721340589,0.5921042864999643,0.03690025429430688,-0.05013946007159853,0.06260577286015839,0.5329831711601055,0.4986908966732524,0.034292274486853125,0.04590090560372293
experience,tf,-2,0.539392544459456,0.49978364505793443,0.5920951598907145,0.03960889940152151,-0.05270261543125854,0.05946938315711841,0.5289713295948425,0.4953289669083489,0.03364236268649362,0.04038518844436266
experience,tf,-1,0.5369721965312725,0.4967939964321573,0.5919014719452865,0.04017820009911516,-0.054929275414014045,0.05768369105232765,0.526462119253703,0.5027710647193729,0.02369105453433007,0.03621213987141813
experience,tf,0,0.539863916851503,0.48997723787862735,0.5913679199622373,0.04988667897287569,-0.05150400311073422,0.05969458182691881,0.5280465256745714,0.4991683481129166,0.02887817756165484,0.037555223248624196
experience,tf,1,0.5403983425005771,0.4877302291253826,0.5898122716895391,0.05266811337519445,-0.049413929188962036,0.05788632854863692,0.5260871980915415,0.5017897063856771,0.02429749170586437,0.033594720345976076
experience,tf,2,0.5338250095667699,0.49069489386936144,0.5895146678865231,0.04313011569740849,-0.055689658319753144,0.049236184759911567,0.5215885404618003,0.5000751280793058,0.02151341238249449,0.025040517056357316
experience,tf,3,0.5319827223908723,0.48858610951415343,0.5891585674169507,0.043396612876718865,-0.05717584502607842,0.04683352192484259,0.51800739839453,0.5031888883086866,0.01481851008584345,0.023140923093127583
experience,tf,4,0.5307224264019477,0.48937184795139554,0.5903210969368634,0.04135057845055212,-0.05959867053491574,0.044735292290005085,0.5186844007976981,0.5020854742310396,0.016598926566658512,0.02104958890456235
